,date,location,location_name,value
16558,2020-08-05,09,Connecticut,12
16559,2020-07-28,72,Puerto Rico,18
16560,2020-10-04,31,Nebraska,39
16561,2020-08-10,02,Alaska,4
16562,2020-08-13,20,Kansas,32
16563,2020-09-22,11,District of Columbia,16
16564,2020-10-04,36,New York,113
16565,2020-10-01,29,Missouri,134
16566,2020-09-15,32,Nevada,34
16567,2020-09-15,34,New Jersey,25
16568,2020-09-29,38,North Dakota,34
16569,2020-07-29,27,Minnesota,31
16570,2020-07-23,04,Arizona,281
16571,2020-10-07,37,North Carolina,161
16572,2020-09-18,46,South Dakota,36
16573,2020-09-26,16,Idaho,22
16574,2020-09-30,13,Georgia,305
16575,2020-07-17,20,Kansas,44
16576,2020-08-01,17,Illinois,93
16577,2020-06-18,44,Rhode Island,0
16578,2020-09-24,72,Puerto Rico,18
16579,2020-08-05,20,Kansas,28
16580,2020-06-21,44,Rhode Island,0
16581,2020-05-20,36,New York,1
16582,2020-08-08,32,Nevada,44
16583,2020-07-20,51,Virginia,96
16584,2020-09-28,40,Oklahoma,134
16585,2020-09-02,28,Mississippi,77
16586,2020-06-30,44,Rhode Island,0
16587,2020-09-21,04,Arizona,60
16588,2020-09-04,78,Virgin Islands,0
16589,2020-08-03,45,South Carolina,197
16590,2020-08-11,20,Kansas,28
16591,2020-08-22,05,Arkansas,45
16592,2020-07-30,12,Florida,801
16593,2020-09-13,01,Alabama,106
16594,2020-09-14,37,North Carolina,96
16595,2020-07-21,26,Michigan,22
16596,2020-09-29,55,Wisconsin,142
16597,2020-07-27,22,Louisiana,280
16598,2020-08-24,20,Kansas,44
16599,2020-08-25,10,Delaware,10
16600,2020-04-30,44,Rhode Island,0
16601,2020-10-05,35,New Mexico,14
16602,2020-07-28,53,Washington,25
16603,2020-08-26,06,California,408
16604,2020-08-31,33,New Hampshire,31
16605,2020-08-28,25,Massachusetts,23
16606,2020-05-29,36,New York,0
16607,2020-07-28,26,Michigan,39
16608,2020-09-12,04,Arizona,49
16609,2020-09-03,72,Puerto Rico,31
16610,2020-09-04,28,Mississippi,79
16611,2020-08-09,15,Hawaii,17
16612,2020-10-01,34,New Jersey,40
16613,2020-09-01,06,California,437
16614,2020-08-01,06,California,701
16615,2020-07-27,27,Minnesota,24
16616,2020-09-17,40,Oklahoma,117
16617,2020-09-28,06,California,362
16618,2020-09-26,06,California,289
16619,2020-07-21,12,Florida,827
16620,2020-09-06,30,Montana,20
16621,2020-08-24,01,Alabama,129
16622,2020-09-08,19,Iowa,50
16623,2020-08-17,12,Florida,540
16624,2020-06-08,36,New York,0
16625,2020-08-21,09,Connecticut,13
16626,2020-07-19,19,Iowa,23
16627,2020-09-19,10,Delaware,9
16628,2020-08-20,19,Iowa,34
16629,2020-08-19,16,Idaho,29
16630,2020-07-27,46,South Dakota,4
16631,2020-08-14,56,Wyoming,7
16632,2020-09-22,29,Missouri,127
16633,2020-07-31,33,New Hampshire,5
16634,2020-09-06,78,Virgin Islands,0
16635,2020-08-04,34,New Jersey,8
16636,2020-08-01,29,Missouri,72
16637,2020-07-09,26,Michigan,0
16638,2020-08-05,34,New Jersey,10
16639,2020-08-05,01,Alabama,122
16640,2020-08-08,08,Colorado,61
16641,2020-08-30,45,South Carolina,66
16642,2020-10-01,56,Wyoming,5
16643,2020-06-13,26,Michigan,0
16644,2020-09-16,38,North Dakota,15
16645,2020-06-10,36,New York,1
16646,2020-07-22,78,Virgin Islands,0
16647,2020-09-13,29,Missouri,94
16648,2020-09-04,02,Alaska,7
16649,2020-09-14,13,Georgia,194
16650,2020-08-11,34,New Jersey,0
16651,2020-08-10,35,New Mexico,13
16652,2020-07-27,50,Vermont,0
16653,2020-09-12,26,Michigan,35
16654,2020-09-25,22,Louisiana,75
16655,2020-07-28,21,Kentucky,131
16656,2020-07-07,13,Georgia,0
16657,2020-08-22,45,South Carolina,84
16658,2020-09-14,19,Iowa,47
16659,2020-07-21,45,South Carolina,117
16660,2020-07-29,20,Kansas,36
16661,2020-08-24,32,Nevada,47
16662,2020-09-27,28,Mississippi,62
16663,2020-09-20,21,Kentucky,250
16664,2020-10-07,46,South Dakota,42
16665,2020-08-18,40,Oklahoma,93
16666,2020-08-29,02,Alaska,4
16667,2020-09-11,41,Oregon,9
16668,2020-09-12,48,Texas,424
16669,2020-08-26,35,New Mexico,13
16670,2020-07-01,28,Mississippi,0
16671,2020-09-01,41,Oregon,8
16672,2020-08-13,48,Texas,668
16673,2020-06-03,36,New York,0
16674,2020-07-30,54,West Virginia,20
16675,2020-08-23,41,Oregon,22
16676,2020-08-02,01,Alabama,92
16677,2020-08-21,24,Maryland,54
16678,2020-09-23,16,Idaho,29
16679,2020-09-08,21,Kentucky,466
16680,2020-09-04,38,North Dakota,11
16681,2020-08-10,48,Texas,639
16682,2020-10-01,31,Nebraska,24
16683,2020-07-23,44,Rhode Island,7
16684,2020-09-01,01,Alabama,147
16685,2020-09-02,08,Colorado,18
16686,2020-07-30,09,Connecticut,15
16687,2020-09-14,53,Washington,25
16688,2020-08-15,44,Rhode Island,4
16689,2020-08-20,28,Mississippi,77
16690,2020-07-24,09,Connecticut,9
16691,2020-08-28,06,California,436
16692,2020-08-04,36,New York,73
